holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,holiday_flag,hour,day_of_week,month,weekend,temp_c,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,is_low_visibility,severe_weather,wet_weather,temp_scaled,clouds_all_scaled,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,congestion_category,traffic_category,high_risk
None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545.0,0,9,1,10,0,15.129999999999995,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0,0,0,0.5268257114859974,-0.10869176492012654,0,1,0,0,0,0,0,0,0,0,0,Severe,High,0
None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516.0,0,10,1,10,0,16.210000000000036,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,0,0.6092991214832391,0.7960801173391363,0,1,0,0,0,0,0,0,0,0,0,High,Medium,0
None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767.0,0,11,1,10,0,16.430000000000007,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0,0,0,0.6260992605567484,1.183839495450249,0,1,0,0,0,0,0,0,0,0,0,High,Medium,0
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026.0,0,12,1,10,0,16.980000000000018,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,0.668099608240528,1.183839495450249,0,1,0,0,0,0,0,0,0,0,0,Severe,Medium,0
None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918.0,0,13,1,10,0,17.99000000000001,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0,0,0,0.7452275194416486,0.7960801173391363,0,1,0,0,0,0,0,0,0,0,0,High,Medium,0
None,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181.0,0,14,1,10,0,18.57000000000005,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,0,0.7895187951809094,-1.1168661480090194,1,0,0,0,0,0,0,0,0,0,0,Severe,Medium,0
None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584.0,0,15,1,10,0,20.02000000000004,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0,0,0,0.9002469845290528,-1.1168661480090194,1,0,0,0,0,0,0,0,0,0,0,Severe,High,0
None,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015.0,0,16,1,10,0,20.710000000000036,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,0,0.9529383298050662,-1.1168661480090194,1,0,0,0,0,0,0,0,0,0,0,Severe,High,0
None,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791.0,0,17,1,10,0,20.99000000000001,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0,0,0,0.9743203249895334,-0.6257042690682768,0,1,0,0,0,0,0,0,0,0,0,Severe,High,0
None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770.0,0,18,1,10,0,19.950000000000045,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0,0,0.894901485732936,-0.6257042690682768,0,1,0,0,0,0,0,0,0,0,0,High,Medium,0
None,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539.0,0,19,1,10,0,17.82000000000005,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0,0,0,0.7322455937939383,-0.6257042690682768,0,1,0,0,0,0,0,0,0,0,0,High,Low,0
