holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,holiday_flag,hour,day_of_week,month,weekend,temp_c,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,is_low_visibility,severe_weather,wet_weather,temp_scaled,clouds_all_scaled,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,congestion_category,traffic_category,high_risk,split
None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545.0,0,9,1,10,0,15.129999999999995,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0,0,0,0.5579068954864737,-0.14131922362657742,0,1,0,0,0,0,0,0,0,0,0,Severe,High,0,train
None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516.0,0,10,1,10,0,16.210000000000036,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,0,0.6400029381840783,0.7681397505833568,0,1,0,0,0,0,0,0,0,0,0,High,Medium,0,train
None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767.0,0,11,1,10,0,16.430000000000007,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0,0,0,0.6567262061409949,1.1579078823876143,0,1,0,0,0,0,0,0,0,0,0,High,Medium,0,train
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026.0,0,12,1,10,0,16.980000000000018,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,0.6985343760332927,1.1579078823876143,0,1,0,0,0,0,0,0,0,0,0,Severe,Medium,0,train
None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918.0,0,13,1,10,0,17.99000000000001,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0,0,0,0.7753093789264194,0.7681397505833568,0,1,0,0,0,0,0,0,0,0,0,High,Medium,0,train
None,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181.0,0,14,1,10,0,18.57000000000005,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,0,0.8193979944492086,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,Medium,0,train
None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584.0,0,15,1,10,0,20.02000000000004,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0,0,0,0.9296195332561726,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,High,0,train
None,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015.0,0,16,1,10,0,20.710000000000036,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,0,0.9820697827574179,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,High,0,train
None,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791.0,0,17,1,10,0,20.99000000000001,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0,0,0,1.0033539419753126,-0.6610100660322542,0,1,0,0,0,0,0,0,0,0,0,Severe,High,0,train
None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770.0,0,18,1,10,0,19.950000000000045,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0,0,0.924298493451699,-0.6610100660322542,0,1,0,0,0,0,0,0,0,0,0,High,Medium,0,train
None,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539.0,0,19,1,10,0,17.82000000000005,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0,0,0,0.7623868536869852,-0.6610100660322542,0,1,0,0,0,0,0,0,0,0,0,High,Low,0,train
None,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784.0,0,20,1,10,0,16.230000000000018,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,0,0.6415232352710695,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Medium,Low,0,train
None,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361.0,0,21,1,10,0,15.460000000000036,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0,0,0,0.5829917974218549,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Medium,Low,0,train
None,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529.0,0,22,1,10,0,14.010000000000048,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0,0,0,0.47277025861489086,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Medium,Low,0,train
None,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963.0,0,23,1,10,0,12.300000000000011,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0,0,0,0.342784857677019,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506.0,0,0,2,10,0,11.480000000000018,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,0.28045267711032207,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321.0,0,1,2,10,0,10.32000000000005,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0,0,0,0.1922754460647525,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273.0,0,2,2,10,0,8.03000000000003,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,0.018201429604095862,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367.0,0,3,2,10,0,7.939999999999998,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0,0,0,0.01136009271262665,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814.0,0,4,2,10,0,6.3799999999999955,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0,0,-0.10722308007279793,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718.0,0,5,2,10,0,5.470000000000027,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0,0,0,-0.17639659753095976,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Medium,Low,0,train
None,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673.0,0,6,2,10,0,5.080000000000041,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,0,0,-0.2060423907273148,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,High,0,train
None,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511.0,0,8,2,10,0,4.970000000000027,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,0,0,0,-0.21440402470577527,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,High,0,train
None,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471.0,0,9,2,10,0,9.330000000000041,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0,0,0,0.11702074025861707,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,Medium,0,train
None,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097.0,0,12,2,10,0,18.82000000000005,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,0,0.8384017080366163,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,Medium,0,train
None,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887.0,0,13,2,10,0,20.08000000000004,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0,0,0,0.9341804245171507,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,High,Medium,0,train
None,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337.0,0,14,2,10,0,21.160000000000025,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,0,1.016276467214751,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,Medium,0,train
None,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692.0,0,15,2,10,0,22.02000000000004,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0,0,0,1.0816492419554347,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,High,0,train
None,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137.0,0,16,2,10,0,21.980000000000018,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,0,1.0786086477814478,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,High,0,train
None,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623.0,0,18,2,10,0,20.510000000000048,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,0,0,0.9668668118874926,-0.6610100660322542,0,1,0,0,0,0,0,0,0,0,0,High,Medium,0,train
None,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591.0,0,19,2,10,0,17.5,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0,0,0,0.7380621002950996,-0.6610100660322542,0,1,0,0,0,0,0,0,0,0,0,High,Low,0,train
None,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898.0,0,20,2,10,0,15.04000000000002,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0,0,0.5510655585950087,-0.6610100660322542,0,1,0,0,0,0,0,0,0,0,0,Medium,Low,0,train
None,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637.0,0,21,2,10,0,13.950000000000045,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0,0,0,0.4682093673539128,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Medium,Low,0,train
None,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777.0,0,22,2,10,0,13.100000000000023,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0,0,0,0.40359674115672467,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Medium,Low,0,train
None,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015.0,0,23,2,10,0,12.110000000000014,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0,0,0,0.32834203535058926,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598.0,0,0,3,10,0,11.400000000000034,0.0,1.0,0.43388373911755823,-0.900968867902419,0,0,0,0.2743714887623528,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369.0,0,1,3,10,0,10.32000000000005,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0,0,0,0.1922754460647525,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312.0,0,2,3,10,0,10.020000000000039,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,0,0.1694709897598623,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367.0,0,3,3,10,0,8.890000000000043,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,0,0,0,0.08357420434477959,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835.0,0,4,3,10,0,8.54000000000002,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,0,0,0.056969005322407,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Low,Low,0,train
None,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726.0,0,5,3,10,0,8.170000000000016,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0,0,0,0.02884350921304317,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Medium,Low,0,train
None,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689.0,0,6,3,10,0,7.590000000000032,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,0,-0.015245106309741619,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,High,0,train
None,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990.0,0,7,3,10,0,7.420000000000016,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0,0,0,-0.028167631549180106,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,High,0,train
None,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985.0,0,8,3,10,0,8.710000000000036,0.8660254037844387,-0.49999999999999983,0.43388373911755823,-0.900968867902419,0,0,0,0.06989153056184548,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,High,0,train
None,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309.0,0,9,3,10,0,11.830000000000041,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0,0,0,0.30705787613269464,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,Severe,Medium,0,train
None,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603.0,0,10,3,10,0,16.03000000000003,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0,0,0,0.6263202644011442,-1.154716366317647,1,0,0,0,0,0,0,0,0,0,0,High,Medium,0,train
